/Users/monemnaifer/Library/CloudStorage/GoogleDrive-monemmacos@gmail.com/My Drive/Strategic AI Integration/Site_Generator/cms-integration.ts: line 11, col 19, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/monemnaifer/Library/CloudStorage/GoogleDrive-monemmacos@gmail.com/My Drive/Strategic AI Integration/Site_Generator/cms-integration.ts: line 59, col 33, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/monemnaifer/Library/CloudStorage/GoogleDrive-monemmacos@gmail.com/My Drive/Strategic AI Integration/Site_Generator/cms-integration.ts: line 85, col 54, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/monemnaifer/Library/CloudStorage/GoogleDrive-monemmacos@gmail.com/My Drive/Strategic AI Integration/Site_Generator/cms-integration.ts: line 130, col 54, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/monemnaifer/Library/CloudStorage/GoogleDrive-monemmacos@gmail.com/My Drive/Strategic AI Integration/Site_Generator/cms-integration.ts: line 174, col 57, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/monemnaifer/Library/CloudStorage/GoogleDrive-monemmacos@gmail.com/My Drive/Strategic AI Integration/Site_Generator/cms-integration.ts: line 196, col 12, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/monemnaifer/Library/CloudStorage/GoogleDrive-monemmacos@gmail.com/My Drive/Strategic AI Integration/Site_Generator/cms-integration.ts: line 203, col 37, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/monemnaifer/Library/CloudStorage/GoogleDrive-monemmacos@gmail.com/My Drive/Strategic AI Integration/Site_Generator/cms-integration.ts: line 206, col 64, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/monemnaifer/Library/CloudStorage/GoogleDrive-monemmacos@gmail.com/My Drive/Strategic AI Integration/Site_Generator/cms-integration.ts: line 209, col 36, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/monemnaifer/Library/CloudStorage/GoogleDrive-monemmacos@gmail.com/My Drive/Strategic AI Integration/Site_Generator/cms-integration.ts: line 212, col 64, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/monemnaifer/Library/CloudStorage/GoogleDrive-monemmacos@gmail.com/My Drive/Strategic AI Integration/Site_Generator/cms-integration.ts: line 214, col 11, Warning - 'sanityQuery' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/monemnaifer/Library/CloudStorage/GoogleDrive-monemmacos@gmail.com/My Drive/Strategic AI Integration/Site_Generator/cms-integration.ts: line 219, col 38, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/monemnaifer/Library/CloudStorage/GoogleDrive-monemmacos@gmail.com/My Drive/Strategic AI Integration/Site_Generator/cms-integration.ts: line 222, col 64, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/monemnaifer/Library/CloudStorage/GoogleDrive-monemmacos@gmail.com/My Drive/Strategic AI Integration/Site_Generator/cms-integration.ts: line 225, col 31, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/monemnaifer/Library/CloudStorage/GoogleDrive-monemmacos@gmail.com/My Drive/Strategic AI Integration/Site_Generator/cms-integration.ts: line 228, col 45, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/monemnaifer/Library/CloudStorage/GoogleDrive-monemmacos@gmail.com/My Drive/Strategic AI Integration/Site_Generator/cms-integration.ts: line 244, col 41, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/monemnaifer/Library/CloudStorage/GoogleDrive-monemmacos@gmail.com/My Drive/Strategic AI Integration/Site_Generator/cms-integration.ts: line 260, col 41, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
